Наименование;Цвет;Изображение;Размеры;Цена;Описание
"120121009 Брюки текстильные для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121009/original/120121009_1.jpg;140, 134, 146;1064;:Брюки трикотажные  эластичный пояс  комфортная посадка за счет внутренней утяжки функциональные передние карманы 74% вискоза, 11% нейлон, 11% полиэстер, 4% эластан
"120121014 Брюки трикотажные для девочек -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120121014/original/120121014_1.jpg;140, 134, 128;650;:Кюлоты трикотажные из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок передние функциональные карманы 95% хлопок, 5% эластан
"120121017 Брюки трикотажные для девочек (леггинсы) 2 шт. в комплекте -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121017/original/120121017_1.jpg;146, 128, 140, 134, 152;625;:Леггинсы из качественного эластичного и приятного трикотажа цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 2 изделия в комплекте 95% хлопок, 5% эластан
120121018 Брюки трикотажные для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/raskladka/120121018/original/120121018_04.jpg;146, 152, 140, 128, 134;690;:Брюки трикотажные суперэластичные за счет состава ткани лампасы из пайеток 68% вискоза, 28% полиамид, 4% эластан
120126001 Брюки текстильные джинсовые для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120126001/original/120126001_1.jpg;152, 128, 140, 134, 146;1100;":Джинсы «варенка» из качественного эластичного денима благодаря высокой посадке брюки не ""сползают"" при движении комфортная посадка за счет внутренней утяжки застежка: молния и кнопка функциональные карманы 70% хлопок, 28% полиэстер, 2% эластан"
"120121055 Шорты текстильные для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121055/original/120121055_1.jpg;140, 146, 134, 128, 152;920;:Шорты трикотажные  эластичный пояс  комфортная посадка за счет внутренней утяжки функциональные передние карманы 74% вискоза, 11% нейлон, 11% полиэстер, 4% эластан
"120121023 Юбка трикотажная для девочек -цвет черный;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120121023/original/120121023_1.jpg;140, 134, 146, 152, 128;640;:Юбка верх из сетки пояс - широкая резинка 95% хлопок, 5% эластан
"120121011 Толстовка трикотажная для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121011/original/120121011_3.jpg;146, 140, 152, 128, 134;990;:Толстовка на молнии, внутри мягкий начес манжеты и нижняя кромка в эластичный рубчик капюшон с кулиской защита подбородка при застегивании молнии 95% хлопок, 5% эластан
"120121015 Толстовка трикотажная для девочек -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120121015/original/120121015_1.jpg;146, 140, 128, 134, 152;720;:Свитшот из качественного футера  мягкая фактура плетения на изнаночной стороне принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок манжеты и нижняя кромка в эластичный рубчик 95% хлопок, 5% эластан
"120121008 Платье текстильное для девочек -цвет светло-серый;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120121008/original/120121008_1.jpg;128;960;":Нарядное платье  воздушная сетка в горох создает нарядный ретро образ трикотаж с высоким содержанием хлопка – комфорт для ребенка застежка – потайная молния Верх: 100% полиэстер; Подкладка: 95% хлопок, 5% эластан"
"120121022 Платье трикотажное для девочек -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120121022/original/120121022_1.jpg;152, 128, 134, 140, 146;620;:Платье из коллекционной линии family look  можете составить family look с платьем взрослого размера аналогичного дизайна высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму воланы по рукавам 95% хлопок, 5% эластан
"120121057 Платье трикотажное для девочек -цвет черный;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120121057/original/120121057_01.jpg;146, 140, 134, 128;840;":Нарядное платье верх из буклированной ткани трикотажный подьюбник верх из сетки зафиксированное на груди съемное украшение застегивается на молнию Верх: 75% полиэстер, 22% хлопок, 3% эластан; Подкладка: 100% хлопок"
"120121006 Кардиган трикотажный для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121006/original/120121006_1.jpg;146, 128, 134, 152, 140;910;:Кардиган из уютного вязаного трикотажа горловина, манжеты и нижняя кромка в эластичный рубчик застегивается на пуговицы по низу баска 50% вискоза, 50% нейлон
"120121905 Комплект трикотажный для девочек: фуфайка (футболка), брюки (легинсы) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121905/original/120121905_1.jpg;134, 140, 152, 128, 146;730;:Комплект из футболки и леггинсов из качественного эластичного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120121024 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121024/original/120121024_1.jpg;140, 152, 134, 146, 128;670;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму горловина в эластичный рубчик баска с сеткой 95% хлопок, 5% эластан
120121025 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120121025/original/120121025_2.jpg;140, 152, 146, 128, 134;420;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками сохранит первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120121028 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121028/original/120121028_2.jpg;128, 134, 152, 140, 146;500;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок воланы по рукавам 95% хлопок, 5% эластан
