Наименование;Цвет;Изображение;Размеры;Цена;Описание
392033 Жилет текстильный для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/392033/original/392033_01.jpg;110, 116, 122, 104, 98;995;":Утепленный жилет для девочки PlayToday мягкой бархатистой текстуры с гладкой подкладкакой из полиэстера и 2мя боковыми карманами.  Для дополнительного комфорта предусмотрены: резинка по низу изделия внешняя ветрозащитная планка Верх: 100% полиэстер; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 250 г/м2"
"172753 Сумка текстильная для девочек -цвет красный;желтый";;https://playtoday.ru/upload/1c/new_struct/raskladka/172753/original/01.jpg;один размер;440;":Стильный рюкзак для девочки. Украшен стильной надписью. Верх: 100% полиэстер; Подкладка: 100% полиэстер; Утеплитель: 100% полиэстер"
"372087 Перчатки трикотажные для девочек -цвет темно-синий;фиолетовый;розовый";;https://www.odevaika.ru/upload/catalog_images/372087/b_372087_01.jpg;13, 14;160;":*Вязаные перчатки станут идеальным вариантом для прохладной погоды * Они очень мягкие, хорошо тянутся и прекрасно сохраняют тепло * На манжетах - плотная резинка, которая хорошо держит перчатки на руках ребенка * Модель выполнена в технике ""yarn dyed"", в процессе производства используются разного цвета нити * Изделие, при рекомендуемом уходе, не линяет и надолго остается в прежнем виде * 80% хлопок, 18% нейлон, 2% эластан"
378227 Туфли детские для девочек -цвет белый;;https://www.odevaika.ru/upload/catalog_images/378227/b_378227_01.jpg;18, 20, 21, 19;750;:*Яркие комфортные туфли отлично подойдут для повседневного использования * Модель выполнена из искусственной кожи * Мягкая кожаная анатомическая стелька * Высокая пятка с мягким кантом по верху * Высокая гибкая подошва с рифлением обеспечивает оптимальный комфорт * Наполненная носочная часть правильно формирует детскую стопу * 100% полиуретан
188802 Конверт детский текстильный для девочек -цвет светло-розовый;;https://www.odevaika.ru/upload/catalog_images/188802/188802_01.jpg;62-74;490;":* Утепленный ""стеганый"" конверт выполнен из водонепроницаемой ткани * Модель на подкладке из велюра с высоким содержанием натурального хлопка * Контур отверстия для лица дополнен мягкой трикотажной резинкой * Конверт на молнии * Специальный карман для фиксации ""бегунка"" не позволит застежке травмировать нежную детскую кожу * Светоотражатели обеспечат безопасность ребенка в темное время суток Верх: 100% нейлон; Подкладка: 60% хлопок, 40% полиэстер; Утеплитель: 100% полиэстер, 250 г/м2"
188857 Брюки детские трикотажные для девочек (леггинсы) -цвет синий;;https://www.odevaika.ru/upload/catalog_images/188857/188857_01.jpg;74, 68, 62;350;:*Леггинсы выполнены из натурального трикотажа * Мягкая ткань не сковывает движений ребенка * Материал не вызывает раздражений нежной детской кожи * Пояс на резинке, что не позволяет брюкам сползать * Модель дополнена 2-мя накладными задними карманами * 100% хлопок
"388801 Комбинезон детский текстильный для девочек -цвет светло-серый;светло-розовый;розовый;белый";;https://playtoday.ru/upload/1c/new_struct/deti/388801/original/388801_3.jpg;56-62, 68-74;1720;":Комбинезон демисезонный PlayToday со следующими характеристиками: легкий вес; ветро- и водонепроницаемый материал; комбинированная подкладка: хлопок и полиэстер; несъемный капюшон Для дополнительного комфорта предусмотрены: выворачивающиеся пинетки и варежки внутренняя ветрозащитная планка для дополнительной защиты от непогоды; две удлиненные молнии для легкого одевания; удлиненная молния для легкого одевания; защита подбородка при застегивании молнии; светоотражающие элементы для дополнительной безопасности в темноте; Верх: 100% полиэстер; Подкладка: 70% хлопок, 30% полиэстер; Утеплитель: 100% полиэстер, 200 г"
"388853 Конверт детский текстильный для девочек -цвет темно-красный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/388853/original/388853_3.jpg;56-74;1295;":Конверт зимний PlayToday со следующими характеристиками: ветро- и водонепроницаемый материал; комбинированная подкладка: шесть и полиэстер; капюшон регулируется при помощи кулиски; Для дополнительного комфорта предусмотрены: внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии; две удлиненные молнии для легкого одевания; защита подбородка при застегивании молнии; светоотражающие элементы для дополнительной безопасности в темноте; Верх: 100% полиэстер; Подкладка: 50% шерсть, 50% полиэстер; Наполнитель: 100% полиэстер, 300 г/м2"
178801 Комбинезон детский текстильный для девочек -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/deti/178801/original/01.jpg;56-62;995;":Комбинезон демисезонный PlayToday со следующими характеристиками: легкий вес; ветро- и водонепроницаемый материал; покладка из хлопка; несъемный капюшон; Для дополнительного комфорта предусмотрены: эластичные манжеты на рукавах; внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии; удлиненная молния для легкого одевания и замены подгузника; защита подбородка при застегивании молнии; регулировка ширины низа брючин при помощи резинки; светоотражающие элементы для дополнительной безопасности в темноте; Верх: 100% полиэстер; Подкладка: 100% хлопок; Утеплитель: 100% полиэстер, 150 г/м2"
398805 Фуфайка детская трикотажная для девочек (футболка с длинным рукавом) -цвет светло-серый;;https://playtoday.ru/upload/1c/new_struct/raskladka/398805/original/398805_04.jpg;62, 68, 74, 56;320;:Светло-серая трикотажная футболка, декорированная аппликациями в виде зайчат, украсит гардероб маленькой девочки. Натуральный материал, длинный рукав, круглый вырез горловины, сбоку 2 кнопки для более комфортного переодевания ребенка. 3D принт привлекает внимание и развивает тактильное восприятие. 100% хлопок
"688805 Кофточка детская трикотажная для девочек:2 шт в комплекте -цвет белый;Черный;розовый";;https://www.odevaika.ru/upload/catalog_images/688805/688805_01.jpg;74;245;":*Кофточки с длинными рукавами выполнены из натурального материала * Асимметричное расположение застежек - кнопок позволяет быстро снять и одеть изделие * В качестве декора использованы яркие принты * Манжеты моделей для совсем маленьких детей трансформируются в ""варежки - анитцарапки"" * 100% хлопок"
388822 Шапочка детская трикотажная для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/raskladka/388822/original/388822_1.jpg;44, 46, 42;160;:Трикотажная шапочка для девочек в нежно-розовой расцветке с завязками из чистого хлопка. Модель декорирована элегантным велюровым бантиком. 100% хлопок
398816 Шапка детская трикотажная для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/raskladka/398816/original/398816_04.jpg;40, 42, 44;320;":Балаклава из вязаного трикотажа на безопасных липучках спереди. Подкладка из хлопка. Модель декорирована пришитыми ушками. Верх: 60% хлопок, 40% акрил; Подкладка: 95% хлопок, 5% эластан"
394033 Жилет текстильный для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/394033/original/394033_00.jpg;128, 134;995;":Утепленный жилет для девочки PlayToday мягкой бархатистой текстуры с гладкой подкладкакой из полиэстера и 2мя боковыми карманами.  Для дополнительного комфорта предусмотрены: резинка по низу изделия внешняя ветрозащитная планка Верх: 100% полиэстер; Подкладка: 100% полиэстер; Утеплитель: 100% полиэстер"
"194207 Сапоги водонепроницаемые для девочек -цвет желтый;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/194207/original/194207_1.jpg;32, 33, 34;520;:Стильные водонепроницаемые сапоги для девочек в модной жёлтой расцветке и принтом в белый горошек. Подошва с рифлением и стелька обеспечивают оптимальный комфорт при ходьбе, а яркий дизайн создает отличное настроение даже в дождливую погоду. 100% резина
398019 Полукомбинезон текстильный джинсовый для девочек -цвет синий;;https://playtoday.ru/upload/1c/new_struct/deti/398019/original/398019_1.jpg;80, 74;790;:Джинсовый полукомбинезон для девочки. Лямки регулируются по длине застежками пуговицами на разных уровнях. Модель декорирована аппликацией с блестками. 68% хлопок, 30% полиэстер, 2% эластан
198109 Брюки детские трикотажные для девочек (леггинсы) -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/deti/198109/original/198109_10.jpg;86, 92, 74, 80;265;":Оригинальные и яркие трикотажные брюки-леггинсы для девочки выполнены в розовой расцветке. Модель дополнена нежной юбочкой из сетки и декоративной отделкой по низу брюк ""кроше"". Нарядное удобство придётся по душе и маленькой моднице, и её маме. 95% хлопок, 5% эластан"
"398009 Фуфайка трикотажная для девочек (футболка) -цвет серый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/398009/original/398009_1.jpg;92, 80, 74;240;:Трикотажная футболка PlayToday для девочки с коротким рукавом – базовая вещь в гардеробе. Сбоку 2 кнопки для более комфортного переодевания ребенка.  Модель декорирована тематическим принтом по всему изделию. 95% хлопок, 5% эластан
198047 Шапка детская трикотажная для девочек -цвет сиреневый;;https://playtoday.ru/upload/1c/new_struct/deti/198047/original/198047_1.jpg;46, 48;210;:Трикотажная шапка для девочек в нежно-розовой расцветке с широким отворотом, модель декорирована яркими ушками и милой мордочкой котёнка. 95% хлопок, 5% эластан
398018 Шапка трикотажная для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/raskladka/398018/original/398018_04.jpg;48, 46;160;:Серая трикотажная шапка в полоску. Модель декорирована вышитой кошкой из паеток. 95% хлопок, 5% эластан
388222 Ботинки для девочек -цвет сиреневый;;https://playtoday.ru/upload/1c/new_struct/deti/388222/original/388222_11.jpg;21, 22, 20;950;:Комфортные ботинки превосходно подходят для ежедневных прогулок. Выполнены из искусственной кожи. Подкладка из натурального хлопка. Комфортная пятка укреплена мягким кантом по верхней части задника. Гибкая подошва с рифлением обеспечивает оптимальный комфорт. Мысок из прорезиненного материала. Модель декорирована глиттером. Девочк абудет довольна выбором взрослых! 80% полиуретан, 20% полиэстер
"388229 Ботинки для девочек -цвет темно-синий;синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/388229/original/388229_1.jpg;22, 21, 20;950;:Комфортные ботинки превосходно подходят для ежедневных прогулок. Выполнены из искусственной кожи. Подкладка из натурального хлопка. Комфортная пятка укреплена мягким кантом по верхней части задника. Гибкая подошва с рифлением обеспечивает оптимальный комфорт. Мысок выполнен из прорезиненного материала. Приятное сочетание серого и желтого цветов смотрится очень стильно. Такая обувь будет хорошо сочетаться с джинсами или брюками. 80% полиуретан, 20% полиэстер
"398210 Ботинки детские для девочек -цвет темно-серый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/398210/original/398210_2.jpg;23, 19, 21, 24, 20, 22;980;:Несколько доводов в пользу того, чтобы выбрать именно эти демисезонные ботинки PlayToday ребенку: 1. Высота берцев соответствует требованиям ГОСТа для обуви этого сезона.  2. Формоустойчивый задник поддерживает стопу в правильном положении. 3. Удобная колодка в соответствии с ГОСТом. 4. Облегченная подошва. 5. Подкладка выполнена с использованием натуральных материалов (содержание хлопка 70%).  6.Съемная стелька обеспечивает дополнительную гигиену и может быть заменена на ортопедическую. 7.Удобная застежка. Рекомендованный температурный режим - от +15 С до +5 С (в зависимости от активности ребенка). 100% искусственная кожа
498202 Туфли детские для девочек -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/498202/original/498202_04.jpg;20, 22, 23, 21, 24, 25;595;:Кремовые туфли Мери Джейн выполнены из лакированной искусственной кожи. Подкладка и стелька из натуральной кожи. Благодаря удобной застежке – липучке ребёнок может легко надевать туфли самостоятельно. Подошва – манка обладает противоскользящим эффектом и устойчива к истиранию. Усиленная защита мыска и пятки позволяет обуви дольше сохранять первоначальный вид.  Туфли украшает золотой бант, который крепко пришит к ленте. 100% полиуретан
492019 Платье текстильное для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/492019/original/492019_1.jpg;104, 122, 98, 110, 116;995;":Нарядное нежно-розовое платье с цветочным принтом без рукавов. На линии талии пришитый крупный цветок в тон из фатина. Платье застегивается на потайную молнию сзади. Пышная юбка. Верх: 100% полиэстер; Подкладка: 60% полиэстер, 40% хлопок"
492020 Платье текстильное для девочек -цвет голубой;;https://playtoday.ru/upload/1c/new_struct/deti/492020/original/492020_1.jpg;104, 98, 116, 110;995;":Нарядное голубое платье с цветочным принтом без рукавов. На линии талии пришитый крупный цветок в тон из фатина. Платье застегивается на потайную молнию сзади. Пышная юбка. Верх: 100% полиэстер; Подкладка: 60% полиэстер, 40% хлопок"
392097 Сарафан трикотажный для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/392097/original/392097_01.jpg;104, 98, 116, 110;450;:Очаровательно платье из вельвета в стиле ретро без рукавов. Бархатистая текстура снаружи, приятная на ощупь ткань из хлопка внутри.  Сзади предусмотрены кнопки для комфортного переодевания малышки. Платье украшает свободная отрезная юбка и оборки на груди. 65% хлопок, 33% полиэстер, 2% эластан
"392010 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;черный;золотистый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/392010/original/392010_1.jpg;104, 122, 98, 116, 110;330;:Лонгслив для девочки. Отрезные разноцветные части, круглый вырез горловины. Модель декорирована тематическим принтом спереди и блестками. 95% хлопок, 5% эластан
"192090 Шапка трикотажная для девочек -цвет серый;красный;черный";;https://playtoday.ru/upload/1c/new_struct/raskladka/192090/original/192090_1.jpg;52, 50;165;:Трикотажная шапка для девочек с широким отворотом, модель декорирована яркими ушками и милой мордочкой котёнка. 95% хлопок, 5% эластан
392025 Комплект трикотажный для девочек: шапка, перчатки -цвет черный;;https://playtoday.ru/upload/1c/new_struct/raskladka/392025/original/392025_04.jpg;50, 52;450;:Комплект для девочки из шапки и перчаток серого цвета защитит от холода и дополнит осенне-зимний гардероб. И шапка, и перчатки приятной пушистой текстуры, украшенные паетками. 60% хлопок, 40% полиэстер
"382232 Сапоги для девочек -цвет розовый;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/382232/original/382232_1.jpg;29;690;":Сколько в этой модели нежности! Резиновые сапожки с мягкой опушкой, приятного розового цвета в мелкий горох. В таких резиновых сапожках с высокой и гибкой подошвой, утепленной стелькой и регулятором ширины верха можно смело отправляться осенью на прогулку. Измерять глубину луж - интересно вдвойне, когда не волнуешься о том, что ноги промокнут. Верх: 100% резина; Отделка: 100% полиэстер; Подкладка: 80% хлопок, 20% полиэстер; Подошва: 100% резина"
"392229 Ботинки для девочек -цвет темно-серый;розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/392229/original/392229_04.jpg;26, 25;980;:Несколько доводов в пользу того, чтобы выбрать именно эти демисезонные ботинки PlayToday ребенку: 1. Высота берцев соответствует требованиям Госта для обуви этого сезона.  2. Формоустойчивый задник поддерживает стопу в правильном положении. 3. Удобная колодка в соответствии с ГОСТом. 4. Облегченная подошва. 5. Подкладка выполнена с использованием натуральных материалов (содержание хлопка 70%). 6.Съемная стелька обеспечивает дополнительную гигиену и может быть заменена на ортопедическую. 7.Удобная застежка позволяет ребенку легко обуваться самостоятельно. Рекомендованный температурный режим - от +15 С до +5 С (в зависимости от активности ребенка). 100% искусственная кожа
382123 Шапка трикотажная для девочек -цвет темно-синий;;https://www.odevaika.ru/upload/catalog_images/382123/382123_1.jpg;52, 50;233;:*Современно и качественно Трикотажная шапка плотной вязки, украшенная разноцветными стразами и пушистым помпоном, непременно понравится девочке * Эластичная резинка обеспечивает надежную фиксацию на голове ребенка * Модно, красиво, современно и качественно * Верх: 5% шерсть, 55% хлопок, 20% вискоза, 20% нейлон: Подкладка: 5% шерсть, 55% хлопок, 20% вискоза, 20% нейлон
"394024 Комплект трикотажный для девочек: шапка, перчатки -цвет черный;серебристый";;https://playtoday.ru/upload/1c/new_struct/raskladka/394024/original/394024_04.jpg;56, 54;450;:Комплект: вязанная шапка и перчатки. Резинка по краю изделия. Модель декорирована звездой из паеток. 60% хлопок, 40% полиэстер
598104 Брюки трикотажные для девочек (леггинсы) -цвет красный;;https://playtoday.ru/upload/1c/new_struct/raskladka/598104/original/598104_06.jpg;74, 86, 80;225;:Леггинсы PlayToday для девочки. Эластичный материал и комфортная анатомическая посадка не сковывают движений. Декор – любимые персонажи Disney. 95% хлопок, 5% эластан
"698101 Комплект детский трикотажный для девочек: фуфайка (футболка), брюки -цвет розовый;белый;голубой;желтый;светло-серый";;https://www.odevaika.ru/upload/catalog_images/698101/698101_1.jpg;74, 80;390;":*Футболка с коротким рукавом * Застежкой на две кнопки по левому плечу * Совмещение ""водного"" принта с компьютерным и отделкой с аппликацией и глиттером * По низу изделия отделка в виде ""баски"" * Леггинсы с комфортной резинкой, которая не доставляет дискомфорта * Отделка по низу брюк в виде ""кроше"" (crocchette) * 95% хлопок, 5% эластан"
"698002 Фуфайка трикотажная для девочек (футболка) -цвет серый;белый;красный;светло-желтый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/698002/original/698002_10.jpg;74, 80;195;:Трикотажная светлая футболка для девочек с коротким рукавом, дополнена нежным принтом с блёстками, надписью и изображением милой кошечки Hello Kitty. 95% хлопок, 5% эластан
378043 Перчатки детские трикотажные для девочек -цвет розовый;;https://www.odevaika.ru/upload/catalog_images/378043/b_378043_01.jpg;11, 12;130;:*Вязаные перчатки из пряжи нежных оттенков станут идеальным вариантом для прохладной погоды * Они очень мягкие, хорошо тянутся и прекрасно сохраняют тепло * На манжетах - плотная резинка, которая хорошо держит перчатки на руках ребенка * 80% хлопок, 18% нейлон, 2% эластан
"698003 Шапка трикотажная для девочек -цвет голубой;красный;черный";;https://www.odevaika.ru/upload/catalog_images/698003/698003_1.jpg;46, 48;180;:*Трикотажная шапка для девочек из приятной на ощупь ткани с высоким содержанием хлопка выполнена в светло-серой расцветке * Модель дополнена изображением милой кошечки Hello Kitty * 95% хлопок, 5% эластан
392183 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет красный;;https://playtoday.ru/upload/1c/new_struct/deti/392183/original/392183_1.jpg;98, 110, 116, 104, 122;330;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму модель декорирована качественным водным принтом спереди В комплекте 3 многоразовые наклейки с липким слоем: очки, корона и бант. Стирать с наклейками нельзя: аксессуар необходимо отклеить до стирки и приклеить по желанию после. 95% хлопок, 5% эластан
"394182 Блузка трикотажная для девочек -цвет светло-серый;золотистый;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/394182/original/394182_04.jpg;128, 134, 140, 146, 152;335;:Трикотажная блузка PlayToday для девочки с длинным рукавом. Круглый вырез горловины. Модель декорирована юбкой, бантом из сетки, аппликацией и блестками. 95% хлопок, 5% эластан
"594011 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет светло-серый;красный;серебристый";;https://playtoday.ru/upload/1c/new_struct/deti/594011/original/594011_1.jpg;140, 134, 146, 152, 128;385;:Лонгслив для девочки серого цвета с принтом Disney. Модель декорирована стразами и блестками. 95% хлопок, 5% эластан
"194090 Шапка трикотажная для девочек -цвет светло-серый;темно-серый;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/194090/original/194090_1.jpg;54, 56;165;:Трикотажная шапка для девочек с широким отворотом, модель декорирована яркими ушками и милой мордочкой котёнка. 95% хлопок, 5% эластан
"362064 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет серый;розовый;синий";;https://www.odevaika.ru/upload/catalog_images/362064/362064_00.jpg;116, 110, 122, 104, 98;218;:Уютная хлопковая футболка с длинными рукавами * Украшена нежным цветочным принтом * 95% хлопок, 5% эластан
192203 Полуботинки для девочек -цвет белый;;https://www.odevaika.ru/upload/catalog_images/192203/192203%20(10)%20copy.jpg;25, 26, 28, 27, 30, 29;790;:*Модные полуботинки для девочек из прочного материала с удобной застежкой в виде липучки, дополнена модель цветочным декором * Белые полуботинки популярны среди детей и взрослых, они прекрасно дополняют как спортивный образ, так и повседневную одежду * 100% полиуретан
"382093 Шапка трикотажная для девочек -цвет красный;белый;темно-синий";;https://www.odevaika.ru/upload/catalog_images/382093/382093_1.jpg;56, 54, 52;230;:*Восторг и красота Трикотажная шапка с эластичными завязками и пушистым помпоном смотрится ярко и оригинально * Вещь выполнена по технологии Yarn Dyed, благодаря чему она не линяет и не теряет яркость после стирки * Разве может такая симпатичная шапочка не понравиться юной моднице? Девочка будет в восторге * 100% акрил
"382246 Ботинки для девочек -цвет черный;белый;золотистый";;https://www.odevaika.ru/upload/catalog_images/382246/382246_1.jpg;36, 35, 33, 34, 31, 32;890;:*Спортивная обувь и должна быть такой: удобной, комфортной, качественной, легкой и практичной * Ботинки выполнены из качественных искусственных материалов, подкладка - из ткани с высоким содержанием натуральной шерсти * Комфортная пятка, мягкий кант по верхней части * Гибкая подошва с рифлением обеспечивает оптимальный комфорт * Застегиваются на молнию * Отлично садятся по ноге за счет шнуровки * Ребенок должен быть подвижным, а правильная обувь помогает ему полноценно развиваться! 80% полиуретан, 20% полиэстер
"382260 Ботинки для девочек -цвет черный;белый;золотистый";;https://www.odevaika.ru/upload/catalog_images/382260/382260_1.jpg;29, 27, 30, 28, 25, 26;890;:*Спортивная обувь и должна быть такой: удобной, комфортной, качественной, легкой и практичной * Ботинки выполнены из качественных искусственных материалов, подкладка - из ткани с высоким содержанием натуральной шерсти * Комфортная пятка укреплена мягким кантом по верхней части задника * Гибкая подошва с рифлением обеспечивает оптимальный комфорт * Застегиваются на молнию * Отлично садятся по ноге за счет шнуровки * Ребенок должен быть подвижным, а правильная обувь помогает ему полноценно развиваться! 80% полиуретан, 20% полиэстер
"172111 Сарафан текстильный для девочек -цвет белый;синий;голубой";;https://playtoday.ru/upload/1c/new_struct/raskladka/172111/original/01.jpg;98, 104, 110, 116;695;:Платье свободного кроя, с округлым вырезом у горловины, с нежным набивным рисунком понравится Вашей моднице. Свободный крой не сковывает движений. Приятная на ощупь ткань не раздражает нежную кожу ребенка.  Преимущества:  Мягкая ткань не вызывает раздражений  Свободный крой не сковывает движений ребенка 100% хлопок
172116 Фуфайка трикотажная для девочек (футболка) -цвет розовый;;https://www.odevaika.ru/upload/catalog_images/172116/b_deti_172116_01.jpg;104, 98, 110;190;":*Футболка свободного кроя в ""этно"" стиле прекрасно подойдет как для домашнего использования, так и для прогулок на свежем воздухе * Можно использовать в качестве базовой вещи повседневного гардероба Вашего ребенка * Яркий стильный принт и оригинальные рукавы с бахромой являются достойным украшением данного изделия *  * Преимущества:  Свободный классический крой не сковывает движения ребенка  Подходит в качестве азовой вещи для повседневного гардероба  Яркий стильный принт, рукава с бахромой 100% хлопок"
"172216 Полуботинки для девочек -цвет белый;серебристый";;https://www.odevaika.ru/upload/catalog_images/172216/b_172216_01.jpg;29, 27, 31, 30, 28, 32;995;":*Полуботинки выполнены из современных материалов с оригинальным покрытием ""под серебро"" * Высокая гибкая подошва с рифлением обеспечивает оптимальный комфорт * В полуботинках наполненная носочная часть для правильного формирования стопы * Подкладка из натуральной кожи  * Преимущества:  Подкладка из натуральной кожи  Высокая подошва с рифлением  Наполненная носочная часть для правильного формирования стопы 100% полиуретан"
"172271 Пантолеты детские для девочек -цвет темно-синий;розовый";;https://www.odevaika.ru/upload/catalog_images/172271/b_172271_01.jpg;30, 29, 28, 31;265;:*Эти удобные пантолеты прекрасно подойдут и для дачи, и для пляжа * Подвижный пяточный ремень позволяет легко снимать о одевать обувь * Перфорированная носочная часть обеспечивает хорошую вентиляцию  * Преимущества:  Подвижный пяточный ремень позволяет легко снимать и одевать пантолеты  Перфорированная носочная часть обеспечивает хорошую вентиляцию 100% этилвинилацетат
"178055 Брюки детские текcтильные для девочек -цвет белый;синий;голубой";;https://www.odevaika.ru/upload/catalog_images/178055/b_178055_01.jpg;80, 74, 92, 86;540;:*Удобные брюки с нежным набивным рисунком смогут быть одной из базовых вещей в гардеробе Вашего ребенка * Модель снабжена шлевками * 65% хлопок, 32% полиэстер, 3% эластан
178057 Юбка детская текстильная для девочек -цвет голубой;;https://www.odevaika.ru/upload/catalog_images/178057/b_178057_01.jpg;80, 86, 92, 74;395;:*Эффектная пышная юбка с подъюбником сможет быть одной из базовых вещей летнего детского гардероба * Модель на мягкой резинке, декорирована шитьем * 100% хлопок
178059 Платье детское текстильное для девочек -цвет желтый;;https://www.odevaika.ru/upload/catalog_images/178059/b_178059_01.jpg;86, 92, 80, 74;620;":*Платье с округлым вырезом у горловины, понравится Вашей моднице * Свободный крой не сковывает движений * Модель на молнии и на покладке из натурального хлопка * Нежный ажурный гипюр придает платью особенную легкость *Преимущества:Натуральная ткань подкладки не вызывает раздраженийСвободный крой не сковывает движений ребенка Верх: 80% хлопок, 20% полиамид; Подкладка: 100% хлопок"
178086 Шапка детская трикотажная для девочек -цвет голубой;;https://www.odevaika.ru/upload/catalog_images/178086/b_deti_178086_178070_178079_01.jpg;48, 46;150;:*Шапка - берет из натурального хлопка подойдет Вашему ребенку для прогулок в прохладную погоду * Модель декорирована большим эффектным бантом * Шапка без завязок, плотно прилегает к голове, комфортна при носке *Преимущества:Плотно прилегает к головеКомфортна при носке 100% хлопок
178087 Панама детская текстильная для девочек -цвет белый;;https://www.odevaika.ru/upload/catalog_images/178087/b_178087_01.jpg;48, 46;190;:*Панама из натурального хлопка является неотъемлемой частью летнего детского гардероба * Очень мягкая и легкая, не раздражает нежную кожу ребенка * Модель с козырьком и на завязках *Преимущества:Натуральный материал не раздражает нежную кожу ребенкаКомфортна при носке 100% хлопок
178202 Сапоги резиновые детские для девочек -цвет синий;;https://www.odevaika.ru/upload/catalog_images/178202/b_178202_01.jpg;24, 26, 23, 25, 22;530;":*Резиновые сапоги для ежедневного использования в дождливую погоду * Модель на утолщенной рифленой подошве * Небольшой устойчивый каблук * Мягкая подкладка обеспечит комфорт ногам * Сапоги декорированы ярким рисунком и контрастным цветом контура подошвы на верхней части голенищаПреимущества:Подкладка из хлопкаМодель на небольшом каблуке Верх: 100% резина; Подкладка: 100% хлопок; Подошва: 100% резина"
